,zipcode,latitude,longitude,group
0,19348,53.23746,11.87077,1
1,85309,48.6167,11.4667,3
2,24790,54.27536,9.737535,0
3,98646,50.43950110601,10.723922177567001,3
4,27336,52.76951,9.43078000000003,0
5,19294,53.23011999999999,11.34384,0
6,19395,53.34181,12.3207600000001,1
7,99628,51.1417,11.4583,3
8,38486,52.56471,11.13311,0
9,72622,48.6333,9.35,3
10,27324,52.7764,9.21752,0
11,17440,54.0000756749505,13.690429878234902,1
12,19073,53.56353000000001,11.261410000000101,0
13,8141,50.7,12.5833,1
14,6317,51.48859,11.67065,1
15,56307,50.5889,7.57222,2
16,18581,54.315887,13.42442,1
17,56370,50.25,7.95,2
18,76185,49.0047,8.38583,2
19,76189,49.0047,8.38583,2
20,7318,50.6,11.2333,3
21,19071,53.68279,11.2731200000001,0
22,31867,52.260082,9.379738,0
23,9661,51.0,13.0667,1
24,37620,51.99053,9.56191000000001,0
25,54578,50.2833,6.76667,2
26,17179,53.94062,12.77757,1
27,26892,52.96848000000001,7.34218999999996,0
28,4509,51.46221,12.45321,1
29,87637,47.6,10.6,3
30,76870,49.0892,8.18417,2
31,6618,51.05,11.7833,3
32,86450,48.4667,10.6,3
33,6842,51.84247,12.2305200000001,1
34,6844,51.84247,12.2305200000001,1
35,6846,51.84247,12.2305200000001,1
36,6847,51.84247,12.2305200000001,1
37,6849,51.84247,12.2305200000001,1
38,6861,51.84247,12.2305200000001,1
39,6862,51.84247,12.2305200000001,1
40,95365,50.2,11.4667,3
41,54597,50.15,6.38333,2
42,66121,49.2333,7.0,2
43,87653,47.9167,10.5167,3
44,25590,54.11061,9.57374000000004,0
45,37691,51.69517000000001,9.43173000000002,0
46,25917,54.7718980373985,8.97466555293232,0
47,17379,53.68983000000001,13.89665,1
48,38685,51.93581,10.3324700000001,0
49,99439,51.05,11.2167,3
50,9326,51.0833,12.9167,1
51,32602,52.16162,8.85589000000004,0
52,7819,50.7667,11.7833,3
53,6420,51.63168,11.8376900000001,1
54,17039,53.60729,13.231739999999899,1
55,14542,52.3708,12.93238,1
56,73441,48.8166667,10.2833333,3
57,18469,54.2814335847514,12.779685391540502,1
58,25348,53.788403,9.423933,0
59,77839,48.7333,8.01667,2
60,85072,48.8975,11.1717,3
61,15936,51.8846,13.37919,1
62,23909,53.68851,10.71397,0
63,23847,53.8096,10.43967,0
64,46359,51.82582,6.93602999999996,2
65,58454,51.46789,7.36652000000004,2
66,49770,52.64135,7.59027000000003,0
67,39393,52.14004618756471,11.1023837301636,0
68,88499,48.15,9.45,3
69,68199,49.4252778,8.53,2
70,68219,49.4252778,8.53,2
71,78083,48.0833,8.55,2
72,56814,50.2,7.2,2
73,30926,52.39501,9.59397000000001,0
74,3096,51.8167,14.25,1
75,94348,48.9,12.4833,3
76,23968,53.92742,11.37768,0
77,71679,48.9,9.11667,2
78,56179,50.4,7.61667,2
79,97892,49.7672,9.51833,3
80,22145,53.60558,10.21993,0
81,4924,51.5123,13.35296,1
82,94571,48.85,13.0667,3
83,64743,49.6065,8.9875,2
84,39398,51.99174,11.30197,1
85,6198,51.58529,11.7564,1
86,25548,53.923233,9.681892,0
87,39606,52.7582,11.85445,1
88,24977,54.797014257600004,9.63691100533,0
89,19217,53.72932,11.06597,0
90,37412,51.65898,10.27799,0
91,36433,50.8167,10.2,3
92,6712,51.0833333333,12.21168,1
93,6712,51.0833333333,12.21168,1
94,6729,51.0833333333,12.21168,1
95,6729,51.0833333333,12.21168,1
